Stimulus,Type,Edge-based vis. comp.,Rated vis. comp,Rated freq.,Rated sim.
D1,Digit,30.2700846652,0.619047619048,3.85714285714,1.85714285714
D2,Digit,26.2060916572,0.714285714286,3.85714285714,1.38095238095
D3,Digit,25.2050163622,1.04761904762,3.80952380952,2.04761904762
D4,Digit,27.5888566121,1.42857142857,3.7619047619,1.57142857143
D5,Digit,28.1097559375,1.33333333333,3.57142857143,1.47619047619
D6,Digit,28.3220297342,1.09523809524,3.80952380952,1.57142857143
D7,Digit,28.5393551104,0.428571428571,3.80952380952,0.952380952381
D8,Digit,29.1192312363,1.19047619048,3.57142857143,1.66666666667
D9,Digit,27.9820535285,0.904761904762,3.80952380952,1.85714285714
P1,False font,35.0114615944,3.2380952381,0.190476190476,1.09523809524
P2,False font,30.4166340146,2.90476190476,0.238095238095,1.19047619048
P3,False font,39.1792252057,2.85714285714,0.0952380952381,2.33333333333
P4,False font,33.8239247016,3.04761904762,0.333333333333,1.80952380952
P5,False font,41.7810580216,2.85714285714,0.190476190476,1.38095238095
P6,False font,37.0228974811,2.47619047619,0.142857142857,1.90476190476
P7,False font,34.3808006097,1.66666666667,0.52380952381,3.2380952381
P8,False font,52.546244459,2.7619047619,0.333333333333,0.952380952381
P9,False font,41.9389902983,2.66666666667,0.333333333333,1.2380952381
B,Letter,44.2019253841,1.19047619048,3.85714285714,2.71428571429
D,Letter,34.1554554754,0.666666666667,3.80952380952,2.80952380952
G,Letter,33.8619941665,1.38095238095,3.66666666667,2.47619047619
H,Letter,41.7541970347,1.19047619048,3.7619047619,2.19047619048
K,Letter,39.6151349532,1.61904761905,3.47619047619,2.38095238095
M,Letter,47.8094800123,1.33333333333,3.80952380952,2.66666666667
N,Letter,41.8455394156,1.14285714286,3.7619047619,2.7619047619
R,Letter,38.859978238,1.80952380952,3.80952380952,2.52380952381
S,Letter,33.1507139562,1.14285714286,3.85714285714,2.52380952381
G1,Shape,29.6836429044,0.857142857143,2.33333333333,1.19047619048
G2,Shape,46.6414784658,0.619047619048,2.85714285714,1.19047619048
G3,Shape,35.115320611,0.952380952381,2.95238095238,1.85714285714
G4,Shape,34.6523142741,0.047619047619,3.85714285714,3.2380952381
G5,Shape,35.4314752086,1.71428571429,3.04761904762,0.52380952381
G6,Shape,36.4598175457,1.19047619048,3.52380952381,0.714285714286
G7,Shape,43.6134697022,1.7619047619,2.71428571429,0.809523809524
G8,Shape,38.551517133,1.38095238095,1.71428571429,2.85714285714
G9,Shape,36.906044128,2.38095238095,2.66666666667,0.428571428571
S1,Symbol,16.9690069348,1.57142857143,2.66666666667,0.52380952381
S2,Symbol,15.5652214489,1.33333333333,2.95238095238,0.857142857143
S3,Symbol,22.4592598808,1.95238095238,2.04761904762,3.33333333333
S4,Symbol,26.5389384395,2.42857142857,1.71428571429,3.0
S5,Symbol,12.6994788304,0.0,3.38095238095,1.42857142857
S6,Symbol,16.5555248734,0.952380952381,3.80952380952,0.619047619048
S7,Symbol,30.3197228119,2.28571428571,3.28571428571,2.52380952381
S8,Symbol,14.2692983657,0.428571428571,3.0,1.42857142857
S9,Symbol,21.8448618942,2.61904761905,2.19047619048,3.0
